url,type
artfacts.net/it/istituzion/ms--muzeum-sztuki-lodz-2724/visione-generale.html,benign
parsippanysoccerclub.org/,benign
international.uiowa.edu/services/language/allnet/resources/languages/turkish.asp,benign
btscene.eu/verified-search/torrent/franco+piersanti/,benign
signature-editions.com/,benign
en.wikipedia.org/wiki/Blessed_by_a_Broken_Heart,benign
http://www.trenker-bestattungen.de/index.php?option=com_content&view=article&id=13&Itemid=14,defacement
national.ca/Bold-Thinking/NATIONAL-Publications.aspx,benign
halkbankparaf-para.com,phishing
http://motthegioi.vn/the-gioi-cuoi/clip-dai-gia-mac-ca-voi-co-ban-banh-my-185682.html,benign
metroactive.com/papers/metro/01.29.98/idiotflesh-9804.html,benign
https://twitter.com/home?status=%E3%83%8C%E3%81%91%E3%82%8B%EF%BC%81%E3%80%90%E3%82%A2%E3%83%8B%E3%83%A1%E3%80%91+http%3A%2F%2Fero-video.net%2Ft%2FwjfL4fhPp1lPxTZb+%E3%82%A2%E3%83%AA%E3%82%B5%E5%86%8D%E3%81%B3%EF%BC%81%E3%82%A8%E3%83%AD%E3%82%A2%E3%83%8B%E3%83%A1+%23ero+%23douga+%23agesage,benign
http://correios.com.br/para-sua-empresa/comunicacao/certificados-digitais/ajuda-interativa/informacoes-sobre-a-baixa-dos-certificados-a1,benign
http://olx.ro/i2/electronice-si-electrocasnice/electrocasnice/masini-de-cusut/gtm.start,benign
http://www.aba-diagnostic.com/espace-prive/reset.html,defacement
msn.foxsports.com/nhl/player/yann-sauve/720461,benign
hallmark.businessgreetings.com/,benign
musicstack.com/records-cds/toni+tony+tone,benign
nudecelebsnow.com/tags/1/victoria+justus.htm,benign
http://www.paoarapanui.cl/index.php?option=com_contact&view=contact&id=1&Itemid=6,defacement
worldwrestlinginsanity.com/am2/publish/ringofhonorlive/roh_sinclair_tv2.shtml,benign
http://www.designeremdoces.com/components/com_contact/ggdrives/,phishing
http://slashdot.org/submission/2916707/facebook-to-include-profile-photos-in-its-facial-recognition-database,benign
facebook.com/people/Yui-Takeshita/100001611015714,benign
sportsposterwarehouse.com/items_388__grandprixclassicscoll.html,benign
padmapper.com/search/apartments/Quebec/Montreal-est/,benign
mrskin.com/christina-ricci-nude-c868.html,benign
lip-service.com/webzine/tag/post-apocalyptic-fashion/,benign
http://www.tiendagnulinux.com.ar/calcomanias-en-vinilo?page=shop.browse&category_id=52,defacement
http://chelurao.ru/index.php?option=com_content&view=article&id=9&Itemid=10&lang=ru,defacement
linkedin.com/pub/dir/elizabeth/scarborough,benign
cqgcr.ca/ang/producer01.php,benign
huffingtonpost.com/2011/10/24/south-carolina-primary-case_n_1029599.html,benign
http://qz.com/403774/quartz-daily-brief-japanese-military-verizon-aol-sporty-branson-saucy-swedes/,benign
select.nytimes.com/gst/abstract.html?res=F70814F93B581A7A93CBA9178BD95F4C8385F9,benign
startrekcostumes.net/,benign
en.wikipedia.org/wiki/Neil_Curtis,benign
music.carowinds.com/,benign
http://9779.info/%E6%A0%91%E5%8F%B6%E7%B2%98%E8%B4%B4%E7%94%BB/,malware
newjersey.craigslist.org/,benign
roverslands.net,phishing
familypedia.wikia.com/wiki/Joseph_Philippe_Roi_de_Villere_%281727-1769%29,benign
http://mylust.com/videos/232790/hentai-slut-with-big-juicy-tits-gets-fucked-doggy-style/,benign
acronymfinder.com/John-Burroughs-High-school-(Burbank%2c-CA)-(JBHS).html,benign
http://www.familienbund.org/index.php?option=com_content&view=article&id=291:stellungnahme-des-familienbundes-der-katholiken-zum-referentenentwurf-eines-gesetzes-zur-erweiterung-der-grosselternzeit-&catid=5:stellungnahmen&Itemid=8,defacement
http://www.vanoorschotkranen.nl/hoogwerker/hoogwerkers.pdf,defacement
youtube.com/watch?v=K_-bsYE-y08,benign
myspace.com/jking909,benign
http://www.academiedumeuble.ca/index.php?option=com_seminar&task=3&cid=516&sem_midx=0&sem_jidx=0&Itemid=69,defacement
corporacionrossenditotours.com,phishing
http://maslen.sk/index.php?option=com_contact&view=contact&id=37:iados-o-obchodnu-spolupracu&catid=29:dopytformular&Itemid=5,defacement
http://www.clinicatecma.es/index.php/densiometria,defacement
movies.msn.com/celebrities/celebrity/george-'gabby'-hayes/,benign
idlebrain.com/news/functions/engagement-brahmini.html,benign
vh1.com/video/that-metal-show/full-episodes/carmine-appice-dave-meniketti/1663564/playlist.jhtml,benign
archiver.rootsweb.ancestry.com/th/read/GEN-OBIT/2007-04/1176208149,benign
perezhilton.com/category/william-shatner/,benign
fsnaindia.com/,benign
actionjaxon666.wordpress.com/2011/02/24/new-macbook-pros-secretly-16gb-capable/,benign
en.wikipedia.org/wiki/Kenji_Nojima,benign
alaskajewelry.com/colored-stone-tanzanite-rings-c-21_72_91.html?=&infoBox=0,benign
greenparty.ca/campaign/24048,benign
http://mic.com/articles/117758/mtv-just-gave-these-artists-a-huge-platform-to-bring-attention-to-indigenous-rights,benign
randomhouse.com/book/84548/tapestry-of-spies-by-stephen-hunter,benign
argentinawarez.com/musica-mp3-gratis/65991-ost-boat-rocked-soundtrack-2cd-2009-a.html,benign
192.com/atoz/people/gerrard/steven/,benign
users6.nofeehost.com/aldenh/493.html,benign
facebook.com/opalhilldrive,benign
scottss.com/,benign
http://drive-google-com.fanalav.com/6a7ec96d6a4b8b887e9f9ace81b40a99/,phishing
manta.com/ic/mt6fkz0/ca/residence-sault-au-recollet,benign
http://www.perthshire-caravans.co.uk/stock-list/caravans/706-elddis-odyssey-540,defacement
forum.exscn.net/archive/index.php/t-10778.html?pda=1,benign
superpages.com/bp/Kansas-City-KS/Kansas-City-Terminal-Railway-L2170949422.htm,benign
maxlapointe.com/?p=141,benign
http://rendeck.com/index.php/nl/vacatures/table/9/0/index.html?resetfilters=0,defacement
ca.ratemyteachers.com/louise-trichet/106184-s,benign
cardomain.com/ride/2424103/2006-pontiac-gto,benign
apps.facebook.com/ilike/artist/Les+Respectables,benign
cbssports.com/nba/players/playerpage/20626/paul-pierce,benign
detkreimeier-fotografie.de,phishing
url	type
https://www.wikipedia.org	benign
https://www.python.org	benign
https://www.youtube.com	benign
https://www.microsoft.com	benign
https://www.microsoft.com	benign
https://www.youtube.com	benign
https://www.kaggle.com	benign
https://www.researchgate.net	benign
https://www.amazon.in	benign
https://www.instagram.com	benign
https://www.youtube.com	benign
https://www.microsoft.com	benign
https://www.instagram.com	benign
https://www.amazon.in	benign
https://www.instagram.com	benign
https://www.youtube.com	benign
https://www.python.org	benign
https://www.wikipedia.org	benign
https://www.microsoft.com	benign
https://www.microsoft.com	benign
https://www.python.org	benign
https://www.paruluniversity.ac.in	benign
https://www.youtube.com	benign
https://www.linkedin.com	benign
https://www.python.org	benign
https://www.microsoft.com	benign
https://www.wikipedia.org	benign
https://openai.com	benign
https://www.instagram.com	benign
https://www.instagram.com	benign
https://www.python.org	benign
https://www.microsoft.com	benign
https://openai.com	benign
https://www.kaggle.com	benign
https://www.kaggle.com	benign
https://www.linkedin.com	benign
https://www.researchgate.net	benign
https://www.microsoft.com	benign
https://www.amazon.in	benign
https://www.amazon.in	benign
https://www.linkedin.com	benign
https://www.microsoft.com	benign
https://www.instagram.com	benign
https://www.wikipedia.org	benign
https://www.microsoft.com	benign
https://www.amazon.in	benign
https://www.linkedin.com	benign
https://www.researchgate.net	benign
https://www.youtube.com	benign
https://www.wikipedia.org	benign
http://amazon-gift-free.click	phishing
http://netflix-gift-free.click	phishing
http://netflix.phish-login.ru	phishing
http://amazon-verify.info	phishing
http://amazon-gift-free.click	phishing
http://paypal.phish-login.ru	phishing
http://netflix-account-update.net	phishing
http://facebook.malicious.biz	phishing
http://facebook-gift-free.click	phishing
http://instagram-gift-free.click	phishing
http://paypal.phish-login.ru	phishing
http://instagram-account-update.net	phishing
http://paypal-hacked-deface.org	phishing
http://paypal.malicious.biz	phishing
http://sbi.malicious.biz	phishing
http://gmail.phish-login.ru	phishing
http://secure-netflix-login.com	phishing
http://amazon.malicious.biz	phishing
http://netflix-account-update.net	phishing
http://gmail-hacked-deface.org	phishing
http://sbi.phish-login.ru	phishing
http://netflix-verify.info	phishing
http://amazon-account-update.net	phishing
http://gmail-account-update.net	phishing
http://netflix-gift-free.click	phishing
http://paypal.phish-login.ru	phishing
http://instagram-hacked-deface.org	phishing
http://facebook-account-update.net	phishing
http://secure-flipkart-login.com	phishing
http://netflix.malicious.biz	phishing
http://free-sbi-card.xyz	phishing
http://paypal.phish-login.ru	phishing
http://sbi-account-update.net	phishing
http://free-paypal-card.xyz	phishing
http://facebook.malicious.biz	phishing
http://instagram.malicious.biz	phishing
http://facebook-verify.info	phishing
http://secure-instagram-login.com	phishing
http://paypal-account-update.net	phishing
http://netflix-account-update.net	phishing
http://free-instagram-card.xyz	phishing
http://flipkart.malicious.biz	phishing
http://paypal.malicious.biz	phishing
http://amazon-hacked-deface.org	phishing
http://paypal-verify.info	phishing
http://paypal-account-update.net	phishing
http://facebook-gift-free.click	phishing
http://sbi.phish-login.ru	phishing
http://netflix-account-update.net	phishing
http://amazon.malicious.biz	phishing
